1052;1;cup, whipped;1;120
1052;2;cup, fluid (yields 2 cups whipped);1;239
1052;3;tbsp;1;15
1053;1;cup, whipped;1;120
1053;2;cup, fluid (yields 2 cups whipped);1;238
1053;3;tbsp;1;15
1053;4;fl oz;1;29,8
1054;1;cup;1;60
1054;2;tbsp;1;3
1055;1;tbsp;1;15
1055;2;cup;1;242
1056;1;tbsp;1;12
1056;2;cup;1;230
1057;1;cup;1;254
1057;2;fl oz;1;31,8
1057;3;quart;1;1016
1058;1;tbsp;1;12
1058;2;cup;1;235
1059;1;cup;1;244
1059;2;quart;1;976
1060;1;cup;1;244
1060;2;fl oz;1;30,5
1060;3;quart;1;976
1061;1;serving;1;19
1067;1;container, individual;1;15
1067;2;fl oz;1;30
1067;3;cup;1;240
1067;4;cup;0,5;120
1068;1;container, individual;1;15
1068;2;cup;0,5;120
1069;1;cup;1;94
1069;2;tsp;1;2
1069;3;packet;1;3
1070;1;oz;1,5;43
1070;2;portion, amount to make 1 tbsp;1;1,3
1071;1;cup;1;80
1071;2;tbsp;1;4
1071;3;package yields;1;160
1072;1;cup;1;70
1072;2;tbsp;1;4
1073;1;cup;1;75
1073;2;tbsp;1;4
1074;1;oz;1;28,35
1074;2;cup;1;230
1076;1;cup;1;244
1076;2;quart;1;976
1077;1;cup;1;244
1077;2;fl oz;1;30,5
1077;3;tbsp;1;15
1077;4;quart;1;976
1078;1;cup;1;244
1078;2;quart;1;976
1079;1;cup;1;244
1079;2;fl oz;1;30,5
1079;3;quart;1;976
1080;1;cup;1;245
1080;2;quart;1;980
1081;1;cup;1;246
1081;2;quart;1;984
1082;1;cup;1;244
1082;2;fl oz;1;30,5
1082;3;quart;1;976
1083;1;cup;1;245
1083;2;quart;1;980
1084;1;cup;1;246
1084;2;quart;1;984
1085;1;cup;1;245
1085;2;fl oz;1;30,6
1085;3;quart;1;980
1086;1;cup;1;245
1086;2;fl oz;1;30,6
1086;3;quart;1;980
1087;1;cup;1;246
1087;2;quart;1;984
1088;1;cup;1;245
1088;2;fl oz;1;30,6
1088;3;quart;1;980
1089;1;cup;1;244
1089;2;fl oz;1;30,5
1089;3;quart;1;976
1090;1;cup;0,25;32
1090;2;cup;1;128
1091;1;cup;0,25;30
1091;2;cup;1;120
1091;3;tbsp;5;23
1092;1;cup;1;68
1092;2;envelope (1-1/3 cup);1;91
1092;3;cup (makes 1 cup reconstituted milk);0,333;23
1093;1;oz;1;28,35
1093;2;lb;0,25;113
1094;1;cup;0,25;30
1094;2;cup;1;120
1094;3;tbsp;1;6,5
1095;1;fl oz;1;38,2
1095;2;cup;1;306
1096;1;fl oz;1;31,5
1096;2;cup;1;252
1096;3;can (13 oz);1;369
1096;4;cup;0,5;126
1097;1;fl oz;1;31,9
1097;2;cup;1;256
1097;3;cup;0,5;128
1102;1;cup;1;250
1102;2;fl oz;1;31,2
1102;3;quart;1;1000
1103;1;cup;1;250
1103;2;fl oz;1;31,2
1103;3;quart;1;1000
1104;1;cup;1;250
1104;2;quart;1;1000
1105;1;cup;1;250
1105;2;fl oz;1;31,2
1106;1;fl oz;1;30,5
1106;2;cup;1;244
1106;3;quart;1;976
